"funding_id","need_id","label","amount","parent_id","note","basis","source_id","","","","","","","","","","","","","","","","","",""
"q4-bond","oakridge-hvac","Question 4: school bond on the Nov 3, 2026 ballot","80000000","","","fact","county-bond-2026","","","","","","","","","","","","","","","","","",""
"oakridge-refresh","oakridge-hvac","Oakridge Elementary Refresh (HVAC, roofing, flooring, painting)","31000000","q4-bond","","estimate","cip-fy27-36","","","","","","","","","","","","","","","","","",""
"oakridge-hvac-slice","oakridge-hvac","HVAC replacement","","oakridge-refresh","No APS or County document prices the HVAC work by itself.","interpretation","cip-fy27-36","","","","","","","","","","","","","","","","","",""
"q4-jamestown","oakridge-hvac","Jamestown Elementary Refresh (HVAC, roofing, flooring, painting)","29000000","q4-bond","","fact","county-bond-2026","","","","","","","","","","","","","","","","","",""
"q4-infrastructure","oakridge-hvac","Major Infrastructure: Building Systems","20000000","q4-bond","","fact","county-bond-2026","","","","","","","","","","","","","","","","","",""
"j-q4-bond","jamestown-refresh","Question 4: school bond on the Nov 3, 2026 ballot","80000000","","","fact","county-bond-2026","","","","","","","","","","","","","","","","","",""
"j-refresh","jamestown-refresh","Jamestown Elementary Refresh (HVAC, roofing, flooring, painting)","29000000","j-q4-bond","","estimate","cip-fy27-36","","","","","","","","","","","","","","","","","",""
"j-oakridge","jamestown-refresh","Oakridge Elementary Refresh","31000000","j-q4-bond","","fact","county-bond-2026","","","","","","","","","","","","","","","","","",""
"j-infrastructure","jamestown-refresh","Major Infrastructure: Building Systems","20000000","j-q4-bond","","fact","county-bond-2026","","","","","","","","","","","","","","","","","",""
"hb-budget","hb-hvac-roof","School Board-approved project budget","45650000","","","fact","cip-fy27-36","","","","","","","","","","","","","","","","","",""
"ashlawn-budget","ashlawn-kitchen","Approved project budget","4100000","","","fact","cip-fy27-36","","","","","","","","","","","","","","","","","",""
