"source_id","title","publisher","url","retrieved_on","notes"
"cip-fy27-36","APS Approved FY 2027-36 Capital Improvement Plan (CIP)","Arlington Public Schools","https://www.apsva.us/wp-content/uploads/sites/57/2026/08/APS-FY2027-36-CIP-REPORT-FINAL.pdf","2026-09-24","Adopted June 18 2026; report dated August 2026; Appendix C funding timeline is an image (not read)"
"aps-cip-approval-post","School Board Approves FY 2027-36 CIP Focused on School Renewal and Modernization","Arlington Public Schools","https://www.apsva.us/post/school-board-approves-fy-2027-36-cip-focused-on-school-renewal-and-modernization/","2026-09-24","News post June 19 2026"
"aps-engage-cip","FY 2027-36 Capital Improvement Plan","Arlington Public Schools","https://www.apsva.us/engage/cip/","2026-09-24","Lists Election Day as Nov 4 (conflicts with Nov 3 elsewhere)"
"county-bond-2026","2026 Bond Referenda","Arlington County Government","https://www.arlingtonva.us/Government/Programs/Budget-Finance/Bonds/2026-Bond-Referenda","2026-09-24","Question 4 text and project list"
"policy-d15-draft-2025","Proposed revisions to Policy D-15 External Funding-Commercial Activities (draft)","Arlington School Board (BoardDocs)","https://go.boarddocs.com/vsba/arlington/Board.nsf/files/DD8P9T6391D5/$file/D-15%20External%20Funding-Commercial%20Activities.pdf","2026-09-24","January 2025 first draft; adopted text not verified"
"aps-budget-page","Budget","Arlington Public Schools","https://www.apsva.us/budget/","2026-09-24","FY27 MC/MM $3.0M one-time; no definition"
"aps-superintendent","Superintendent's Office","Arlington Public Schools","https://www.apsva.us/departments/superintendents-office/","2026-09-24",""
"aps-sign-up-to-speak","Speak at a School Board Meeting","Arlington Public Schools","https://www.apsva.us/arlington-school-board/school-board-meetings/sign-up-to-speak/","2026-09-24",""
"aps-sept-2026-schedule","September Schedule of Board Meetings Work Sessions and Advisory Council and Committee Meetings","Arlington Public Schools","https://www.apsva.us/post/september-schedule-of-board-meetings-work-sessions-and-advisory-council-and-committee-meetings-4/","2026-09-24","Posted Sep 2 2026"
"email-2026-04","Email exchange with Superintendent Durán, April 15–16 2026","Provided by team member (personal correspondence)","","2026-09-24","Original held by the team; quoted in the pitch video."
"aps-sb-meetings-2026-27","School Board Meetings (2026-27 dates)","Arlington Public Schools","https://www.apsva.us/arlington-school-board/school-board-meetings/","2026-09-24","Lists Oct 8, Oct 22, Nov 12 2026; 7 p.m. at Syphax unless noted"
"ccpta-2026-27","Arlington County Council of PTAs: 2026-27 meetings","Arlington CCPTA","https://www.arlingtonccpta.org/","2026-09-24","Zoom, 7 p.m.; open to PTA delegates and executive board invitees only"
